Fecha,Confirmados,Decesos
2020-03-11,2,0
2020-03-12,2,0
2020-03-16,2,0
2020-03-17,4,0
2020-03-18,1,0
2020-03-19,2,0
2020-03-20,1,0
2020-03-22,2,1
2020-03-23,4,0
2020-03-24,3,1
2020-03-25,2,0
2020-03-26,3,0
2020-03-27,4,2
2020-03-28,5,2
2020-03-30,1,1
2020-03-31,4,1
2020-04-01,8,2
2020-04-02,2,0
2020-04-03,5,1
2020-04-04,7,1
2020-04-05,5,0
2020-04-06,19,1
2020-04-07,4,0
2020-04-08,4,0
2020-04-09,9,1
2020-04-10,12,2
2020-04-11,5,1
2020-04-12,6,0
2020-04-13,6,2
2020-04-14,5,1
2020-04-15,3,0
2020-04-16,10,2
2020-04-17,13,0
2020-04-18,14,1
2020-04-19,12,0
2020-04-20,22,1
2020-04-21,12,0
2020-04-22,17,0
2020-04-23,20,1
2020-04-24,20,0
2020-04-25,20,0
2020-04-26,19,0
2020-04-27,21,1
2020-04-28,21,0
2020-04-29,19,0
2020-04-30,27,1
2020-05-01,26,1
2020-05-02,23,0
2020-05-03,20,0
2020-05-04,16,0
2020-05-05,6,0
2020-05-06,4,0
2020-05-07,1,0
